period,respondent,respondent-name,type,type-name,value,value-units
2023-12-25T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41677,megawatthours
2023-12-25T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41176,megawatthours
2023-12-25T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41332,megawatthours
2023-12-25T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42134,megawatthours
2023-12-25T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43185,megawatthours
2023-12-25T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44201,megawatthours
2023-12-25T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45264,megawatthours
2023-12-25T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45541,megawatthours
2023-12-25T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45281,megawatthours
2023-12-25T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44247,megawatthours
2023-12-25T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42701,megawatthours
2023-12-25T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41176,megawatthours
2023-12-25T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39956,megawatthours
2023-12-25T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39322,megawatthours
2023-12-25T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39282,megawatthours
2023-12-25T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39695,megawatthours
2023-12-25T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40153,megawatthours
2023-12-25T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41038,megawatthours
2023-12-25T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41836,megawatthours
2023-12-25T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42538,megawatthours
2023-12-25T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42957,megawatthours
2023-12-25T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43777,megawatthours
2023-12-25T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44673,megawatthours
2023-12-25T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44248,megawatthours
2023-12-24T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43616,megawatthours
2023-12-24T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43535,megawatthours
2023-12-24T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43487,megawatthours
2023-12-24T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43547,megawatthours
2023-12-24T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43697,megawatthours
